IDnr	Word	Length	LemmaFreq	WordFreq
363	γκολ	4	155	154.7
364	γκρι	4	3	2.7
365	γκρο	4	1	0.7
366	γόβα	4	1	0.2
367	γόης	4	1	0.3
368	γόμα	4	0	0.1
369	γόος	4	0	
370	γόπα	4	1	0.5
371	γριά	4	6	3.5
372	γύρα	4	1	0.7
373	γύρη	4	1	0.5
374	γύρω	4	235	235.8
375	δάδα	4	1	0.5
376	δαδί	4	1	0.1
377	δέκα	4	149	149
378	δέμα	4	4	1.5
379	δένω	4	39	0.2
380	δέον	4	6	2.7
381	δέος	4	9	8.5
382	δέων	4	10	
383	δίας	4	8	2.6
384	δίδω	4	918	0.3
385	δίκη	4	81	40.1
386	δίνη	4	4	3.8
387	δίνω	4	1692	9.7
388	δίψα	4	5	4.7
389	δομή	4	103	50.2
390	δομώ	4	11	0
391	δόνα	4	0	0.2
392	δονώ	4	6	0
393	δόξα	4	35	25.3
394	δορά	4	0	0
395	δόρυ	4	4	0.5
396	δόση	4	70	28.9
397	δρυς	4	20	14.1
398	δρων	4	1	0.2
399	δύνη	4	0	0
400	δύση	4	53	35.6
401	δώθε	4	3	2.7
402	δώμα	4	1	0.9
403	δώρο	4	35	20.1
404	έβγα	4	1	0.5
405	εδέμ	4	1	0.9
406	έδρα	4	152	79
407	ειδή	4	0	0.1
408	είθε	4	1	0.8
409	εική	4	0	0.1
410	είτε	4	373	372.8
411	έιτζ	4	1	1.3
412	εκεί	4	522	484.2
413	εκών	4	1	0.2
414	ελεώ	4	2	
415	ελέω	4	2	1.6
416	ελιά	4	15	3.7
417	ελίτ	4	11	10.8
418	έλκω	4	4	0
419	έλξη	4	9	4.1
420	έλος	4	2	0.6
421	έμπα	4	0	0.4
422	ένας	4	9534	724.6
423	ένθα	4	0	0.2
424	εξής	4	261	260.2
425	εξόν	4	0	0.4
426	έπος	4	6	3
427	επτά	4	96	71.3
428	έργο	4	995	350.5
429	έριο	4	0	0
430	έρμα	4	1	0.6
431	έρπω	4	1	
432	έρως	4	2	1.8
433	έστω	4	166	165.5
434	έτος	4	437	108.7
435	έτσι	4	891	891.7
436	εύγε	4	1	1.1
437	ευρώ	4	238	239.5
438	ευχή	4	20	9.5
439	έχων	4	15	2
440	ζάλη	4	1	1.2
441	ζάλο	4	0	
442	ζάρα	4	0	0.1
443	ζάρι	4	1	0.2
444	ζελέ	4	0	0.3
